,school,test_optional,applies_to_class_year,policy_details,number_of_applicants,accept_rate,sat_total_middle50_percentile,act_total_middle50_percentile,city,state,zip,sat_total_25th_percentile,sat_total_75th_percentile,act_total_25th_percentile,act_total_75th_percentile,accept_rate_float,sat_school_avg,act_school_avg,should_scores_be_submitted
120,Lake Forest College,Yes,All / Permanent Policy,Lake Forest College has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores. Test optional applicants must complete an interview. Homeschooled students are not eligible for test optional admission.,4147,57.9%,1110-1310,23-29,Lake Forest,IL,60045-2338,1110.0,1310.0,23.0,29.0,0.579,1210.0,26.0,False
121,Kennesaw State University,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,13427,57.9%,1080-1270,21-26,Kennesaw,GA,30144,1080.0,1270.0,21.0,26.0,0.579,1175.0,23.5,False
122,Rollins College,Yes,All / Permanent Policy,"Rollins offers a test optional policy (""test scores waived option"") which allows students to be considered for admission without SAT or ACT scores. However applicants to the 3/2 Accelerated Management Program or the Honors Degree Program must submit test scores.",6167,58.3%,1160-1340,24-30,Winter Park,FL,32789-4499,1160.0,1340.0,24.0,30.0,0.583,1250.0,27.0,False
123,University of Hawaii at Manoa,Yes,2021,University of Hawaii has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,16244,58.4%,1070-1270,21-26,Honolulu,HI,96822-2217,1070.0,1270.0,21.0,26.0,0.584,1170.0,23.5,False
124,University of Denver,Yes,All / Permanent Policy,University of Denver offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,21028,58.7%,1170-1350,26-31,Denver,CO,80208,1170.0,1350.0,26.0,31.0,0.5870000000000001,1260.0,28.5,False
125,Millsaps College,Yes,2021,Millsaps College has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,4161,59.3%,1080-1260,22-28,Jackson,MS,39210-0001,1080.0,1260.0,22.0,28.0,0.593,1170.0,25.0,False
126,Clark University,Yes,All / Permanent Policy,Clark University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,7687,59.4%,1200-1390,28-31,Worcester,MA,01610-1477,1200.0,1390.0,28.0,31.0,0.594,1295.0,29.5,False
127,Lipscomb University,Yes,2021,Lipscomb University has adopted a one-year test optional policy for first-year applicants entering in Spring and Fall 2021.,3638,59.5%,1060-1320,22-29,Nashville,TN,37204-3951,1060.0,1320.0,22.0,29.0,0.595,1190.0,25.5,False
128,Virginia Military Institute,Yes,2021,The Virginia Military Institute has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,1515,59.5%,1090-1270,21-28,Lexington,VA,24450-0304,1090.0,1270.0,21.0,28.0,0.595,1180.0,24.5,False
129,Temple University,Yes,All / Permanent Policy,Temple University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However home-schooled applicants recruited student athletes and international applicants are not eligible for test optional admission.,35599,60.0%,1120-1320,24-30,Philadelphia,PA,19122-6096,1120.0,1320.0,24.0,30.0,0.6,1220.0,27.0,False
130,Illinois Institute of Technology,Yes,2021,Illinois Institute of Technology has adopted a one-year test optional policy for students applying to the Spring and Fall 2021 semesters.,5049,60.2%,1190-1400,26-32,Chicago,IL,60616,1190.0,1400.0,26.0,32.0,0.602,1295.0,29.0,False
131,Yeshiva University,Yes,2021,Yeshiva has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,1508,60.3%,1140-1400,22-30,New York,NY,10033-3299,1140.0,1400.0,22.0,30.0,0.603,1270.0,26.0,False
132,Illinois Wesleyan University,Yes,2021,Illinois Wesleyan has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Test optional applicants must have an interview with their admissions counselor and submit an essay.,3719,60.8%,1120-1320,24-29,Bloomington,IL,61702-2900,1120.0,1320.0,24.0,29.0,0.608,1220.0,26.5,False
133,Furman University,Yes,All / Permanent Policy,Furman University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,5469,61.1%,1230-1410,28-32,Greenville,SC,29613-6162,1230.0,1410.0,28.0,32.0,0.611,1320.0,30.0,False
134,SUNY College of Environmental Science and Forestry,Yes,2021,SUNY College of Environmental Science and Forestry has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,2018,61.4%,1120-1310,23-29,Syracuse,NY,13210,1120.0,1310.0,23.0,29.0,0.614,1215.0,26.0,False
135,University of Portland,Yes,2021,University of Portland has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,14505,61.5%,1160-1330,23-29,Portland,OR,97203-5798,1160.0,1330.0,23.0,29.0,0.615,1245.0,26.0,False
136,Cornell College,Yes,All / Permanent Policy,Cornell College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. Students who apply test optional are expected to respond to two additional written prompts on their applications and to submit portfolios.,3118,61.8%,1100-1345,23-29,Mount Vernon,IA,52314-1098,1100.0,1345.0,23.0,29.0,0.618,1222.5,26.0,False
137,Muhlenberg College,Yes,All / Permanent Policy,Muhlenberg College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,4146,61.8%,1170-1360,26-30,Allentown,PA,18104,1170.0,1360.0,26.0,30.0,0.618,1265.0,28.0,False
138,Gonzaga University,Yes,2021,Gonzaga University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,9279,61.9%,1210-1358,25-30,Spokane,WA,99258-0001,1210.0,1358.0,25.0,30.0,0.619,1284.0,27.5,False
139,Beloit College,Yes,All / Permanent Policy,Beloit offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3657,62.0%,1080-1380,24-30,Beloit,WI,53511-5595,1080.0,1380.0,24.0,30.0,0.62,1230.0,27.0,False
140,Lawrence University,Yes,All / Permanent Policy,Lawrence University offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3463,62.1%,1200-1430,25-32,Appleton,WI,54911,1200.0,1430.0,25.0,32.0,0.621,1315.0,28.5,False
141,University of Utah,Yes,2021 2022 2023,The University of Utah has adopted a test optional policy for students applying through Fall 2023. However students who have GEDs who attend a non-accredited high school or who are applying for direct admission into select programs are not eligible for TO. Test scores are also required for merit scholarships.,24404,62.1%,1142.5-1380,22-29,Salt Lake City,UT,84112-9008,1142.5,1380.0,22.0,29.0,0.621,1261.25,25.5,False
142,Allegheny College,Yes,All / Permanent Policy,Allegheny College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students are not eligible for test optional admission.,5208,62.2%,1170-1360,24-30,Meadville,PA,16335-3902,1170.0,1360.0,24.0,30.0,0.622,1265.0,27.0,False
143,University of Delaware,Yes,2021,University of Delaware has adopted a one-year test optional policy for all students applying to the Spring and Fall 2021 terms.,27691,62.4%,1170-1350,25-30,Newark,DE,19716,1170.0,1350.0,25.0,30.0,0.624,1260.0,27.5,False
144,Westmont College,Yes,2021,Westmont College has adopted a one-year test optional policy for student applying to the Spring and Fall 2021 semesters.,2937,62.4%,1110-1370,23-30,Santa Barbara,CA,93108-1089,1110.0,1370.0,23.0,30.0,0.624,1240.0,26.5,False
145,Luther College,Yes,2021,Luther College has adopted a one-year test optional policy for Fall 2021 applicants.,4422,62.6%,1050-1310,23-29,Decorah,IA,52101-1045,1050.0,1310.0,23.0,29.0,0.626,1180.0,26.0,False
146,Earlham College,Yes,All / Permanent Policy,Earlham offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students and homeschooled students are not eligible for test optional admission.,2070,63.4%,1100-1370,23-30,Richmond,IN,47374-4095,1100.0,1370.0,23.0,30.0,0.634,1235.0,26.5,False
147,Augustana College,Yes,All / Permanent Policy,Augustana College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. Test optional applicants may be asked to complete an interview. However homeschooled applicants and international applicants are not eligible for test optional admission.,6211,63.6%,1070-1280,22-29,Rock Island,IL,61201-2296,1070.0,1280.0,22.0,29.0,0.636,1175.0,25.5,False
148,Wofford College,Yes,All / Permanent Policy,Wofford College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However international students are not eligible for test optional admission.,3522,63.6%,1180-1350,27-30,Spartanburg,SC,29303-3663,1180.0,1350.0,27.0,30.0,0.636,1265.0,28.5,False
149,New Jersey Institute of Technology,Yes,2021,The New Jersey Institute of Technology has adopted a one-year test optional policy for applicants applying in the 2020-21 admissions cycle.,8123,63.7%,1190-1380,25-30,Newark,NJ,7102,1190.0,1380.0,25.0,30.0,0.637,1285.0,27.5,False
150,Wabash College,Yes,2021,Wabash has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,1307,64.2%,1120-1320,23-29,Crawfordsville,IN,47933-0352,1120.0,1320.0,23.0,29.0,0.642,1220.0,26.0,False
151,DePauw University,Yes,All / Permanent Policy,DePauw University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students who wish to apply for an Honor Scholar or Fellows program are not eligible for test optional admission.,4935,64.4%,1130-1360,23-30,Greencastle,IN,46135-1772,1130.0,1360.0,23.0,30.0,0.644,1245.0,26.5,False
152,Drury University,Yes,All / Permanent Policy,Drury University offers a test optional policy which allows domestic students to be considered for admission without SAT or ACT scores.,1664,64.4%,1045-1225,22-28,Springfield,MO,65802-3791,1045.0,1225.0,22.0,28.0,0.644,1135.0,25.0,False
153,University of San Francisco,Yes,All / Permanent Policy,University of San Francisco offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,18411,64.6%,1130-1330,23-29,San Francisco,CA,94117-1080,1130.0,1330.0,23.0,29.0,0.6459999999999999,1230.0,26.0,False
154,Bard College,Yes,All / Permanent Policy,Bard College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,5141,64.6%,1248-1420,27-31,Annandale-On-Hudson,NY,12504-5000,1248.0,1420.0,27.0,31.0,0.6459999999999999,1334.0,29.0,False
155,Goshen College,Yes,2021,Goshen has adopted a one-year test optional policy for students applying to enroll in Fall 2021.,1278,64.7%,1010-1210,21-29,Goshen,IN,46526-4794,1010.0,1210.0,21.0,29.0,0.647,1110.0,25.0,False
156,Agnes Scott College,Yes,All / Permanent Policy,Agnes Scott College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,1751,64.8%,1130-1340,24-30,Decatur,GA,30030-3770,1130.0,1340.0,24.0,30.0,0.648,1235.0,27.0,False
157,Virginia Polytechnic Institute and State University,Yes,2021,Virginia Polytechnic Institute and State University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,31936,64.8%,1180-1390,25-31,Blacksburg,VA,24061-0131,1180.0,1390.0,25.0,31.0,0.648,1285.0,28.0,False
158,University of Houston,Yes,2021,University of Houston has adopted a one-year test optional policy for all first-year applicants applying in the 2020-21 admission cycle. Applicants electing TO must submit 2 letters of support a personal statement and a resumé.,25393,65.0%,1140-1310,22-27,Houston,TX,77204-2018,1140.0,1310.0,22.0,27.0,0.65,1225.0,24.5,False
159,Truman State University,Yes (TF),2021,Truman State University has adopted a one-year Test Flexible policy which means that while they prefer students submit SAT or ACT scores applications will still be evaluated without them for students who couldn't test. Students applying without test scores must submit an essay and may be asked to provide additional information. Test scores are required to be eligible for some scholarships or programs.,4568,65.3%,1080-1358,24-30,Kirksville,MO,63501-4221,1080.0,1358.0,24.0,30.0,0.653,1219.0,27.0,False
160,University of the Pacific,Yes,All / Permanent Policy,University of the Pacific offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,13096,65.6%,1130-1360,23-31,Stockton,CA,95211-0197,1130.0,1360.0,23.0,31.0,0.6559999999999999,1245.0,27.0,False
161,Rochester Institute of Technology,Yes,All / Permanent Policy,Rochester Institute of Technology offers a test optional policy which allows students applying to most programs to be considered for admission without SAT or ACT scores. Students applying to imaging science motion picture science and photographic sciences within the College of Art & Design must still provide test scores,18948,66.0%,1200-1400,27-32,Rochester,NY,14623-5603,1200.0,1400.0,27.0,32.0,0.66,1300.0,29.5,False
162,Berry College,Yes,All / Permanent Policy,Berry College offers a test optional policy which allows students to apply without standardized test scores.,3970,66.1%,1110-1310,23-29,Mount Berry,GA,30149,1110.0,1310.0,23.0,29.0,0.6609999999999999,1210.0,26.0,False
163,Mississippi State University,Yes,2021,Mississippi State has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,18269,66.3%,1070-1280,22-30,Mississippi State,MS,39762,1070.0,1280.0,22.0,30.0,0.6629999999999999,1175.0,26.0,False
164,Hanover College,Yes,All / Permanent Policy,Hanover College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,7795,66.9%,1078-1300,22-28,Hanover,IN,47243,1078.0,1300.0,22.0,28.0,0.669,1189.0,25.0,False
165,Coe College,Yes*,All / Permanent Policy,Coe College requires either the SAT or ACT however it will waive this requirement if you have a 3.0+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,7795,66.9%,1078-1300,22-28,Cedar Rapids,IA,52402-5092,1078.0,1300.0,22.0,28.0,0.669,1189.0,25.0,False
166,Loyola University Chicago,Yes,All / Permanent Policy,Loyola University Chicago offers a test optional policy which allows students to be considered for admission without standardized test scores. However students applying for admission to the Bachelor of Nursing and Engineering Science programs will still be required to submit a self-reported test score as part of the requirement for review.,25583,67.2%,1140-1320,25-30,Chicago,IL,60660,1140.0,1320.0,25.0,30.0,0.672,1230.0,27.5,False
167,University of Vermont,Yes,2021,University of Vermont has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,19233,67.3%,1180-1360,26-31,Burlington,VT,05405-0160,1180.0,1360.0,26.0,31.0,0.6729999999999999,1270.0,28.5,False
168,San Francisco State University,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,34629,67.3%,940-1150,17-23,San Francisco,CA,94132,940.0,1150.0,17.0,23.0,0.6729999999999999,1045.0,20.0,False
169,Drake University,Yes,All / Permanent Policy,"Drake University offers a test optional policy which it refers to as a ""test-flexible"" plan which allows students to either write an essay or sit for an interview in lieu of submitting test scores. However homeschooled students as well as applicants to certain programs are not eligible for test optional admission.",6944,67.6%,1100-1370,24-31,Des Moines,IA,50311-4505,1100.0,1370.0,24.0,31.0,0.6759999999999999,1235.0,27.5,False
170,Stonehill College,Yes,All / Permanent Policy,Stonehill College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,6961,67.7%,1120-1290,24-28.5,Easton,MA,02357-6110,1120.0,1290.0,24.0,28.5,0.677,1205.0,26.25,False
171,Taylor University,Yes,All / Permanent Policy,Taylor University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Students who choose not to submit scores may be asked to provide more information or complete proficiency exams.,2341,68.1%,1080-1310,22-28,Upland,IN,46989-1001,1080.0,1310.0,22.0,28.0,0.6809999999999999,1195.0,25.0,False
173,Knox College,Yes,All / Permanent Policy,Knox College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,3397,68.3%,1090-1350,24-31,Galesburg,IL,61401,1090.0,1350.0,24.0,31.0,0.6829999999999999,1220.0,27.5,False
174,Hofstra University,Yes,All / Permanent Policy,Hofstra Univeristy offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,24425,68.5%,1160-1340,25-30,Hempstead,NY,11549,1160.0,1340.0,25.0,30.0,0.685,1250.0,27.5,False
175,Ithaca College,Yes,All / Permanent Policy,Ithaca College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,15278,68.5%,1160-1338,25-30,Ithaca,NY,14850-7002,1160.0,1338.0,25.0,30.0,0.685,1249.0,27.5,False
176,Albion College,Yes,2021,Albion College has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,4043,68.8%,990-1200,21-27,Albion,MI,49224,990.0,1200.0,21.0,27.0,0.688,1095.0,24.0,False
177,Texas Tech University,Yes,2021,Texas Tech University has adopted a one-year test optional policy for both domestic and international first-year applicants ientering in the Fall of 2021. It is highly encouraged to submit an SAT/ACT score if an applicant is able to do so in order to qualify for scholarships. It does not require the SAT Essay or ACT Writing Test.,25384,68.9%,1070-1260,22-27,Lubbock,TX,79409-5005,1070.0,1260.0,22.0,27.0,0.6890000000000001,1165.0,24.5,False
178,Ohio Wesleyan University,Yes,All / Permanent Policy,Ohio Wesleyan University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,4705,69.0%,1060-1295,22-28,Delaware,OH,43015-2370,1060.0,1295.0,22.0,28.0,0.69,1177.5,25.0,False
179,Ripon College,Yes,All / Permanent Policy,Ripon College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,2619,69.0%,1000-1210,20-27,Ripon,WI,54971-0248,1000.0,1210.0,20.0,27.0,0.69,1105.0,23.5,False
180,Drew University,Yes,All / Permanent Policy,Drew University offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,3788,69.2%,1110-1310,25-30,Madison,NJ,7940,1110.0,1310.0,25.0,30.0,0.6920000000000001,1210.0,27.5,False
182,Bradley University,Yes,All / Permanent Policy,Bradley University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,10708,70.2%,1070-1270,22-28,Peoria,IL,61625-0001,1070.0,1270.0,22.0,28.0,0.7020000000000001,1170.0,25.0,False
183,Seton Hall University,Yes,2021,Seton Hall University has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,19260,70.4%,1150-1310,24-28,South Orange,NJ,07079-2697,1150.0,1310.0,24.0,28.0,0.7040000000000001,1230.0,26.0,False
184,Biola University,Yes,2021,Biola University has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,4149,70.5%,1080-1310,21-28,La Mirada,CA,90639-0001,1080.0,1310.0,21.0,28.0,0.705,1195.0,24.5,False
185,Ursinus College,Yes,All / Permanent Policy,Ursinus College has a test-optional policy which allows students to be considered for admissions without submitting SAT or ACT scores. However homeschooled applicants and applicants with narrative-style transcripts are not eligible for test optional admission.,3361,70.9%,1140-1320,23-28,Collegeville,PA,19426-1000,1140.0,1320.0,23.0,28.0,0.7090000000000001,1230.0,25.5,False
186,Clarkson University,Yes,2021,Clarkson University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,6885,71.1%,1160-1350,24-30,Potsdam,NY,13699,1160.0,1350.0,24.0,30.0,0.711,1255.0,27.0,False
187,Michigan State University,Yes,2021,Michigan State has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. However homeschooled students are not eligible for test optional admission.,44322,71.1%,1100-1320,23-29,East Lansing,MI,48824-1046,1100.0,1320.0,23.0,29.0,0.711,1210.0,26.0,False
188,Hollins University,Yes,2021,Hollins University has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,3244,71.2%,1070-1300,22-30,Roanoke,VA,24020,1070.0,1300.0,22.0,30.0,0.7120000000000001,1185.0,26.0,False
189,Creighton University,Yes,All / Permanent Policy,Creighton offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants to the nursing program and homeschooled students are not eligible for test optional admission.,10112,71.4%,1150-1350,24-30,Omaha,NE,68178,1150.0,1350.0,24.0,30.0,0.7140000000000001,1250.0,27.0,False
190,California Lutheran University,Yes,All / Permanent Policy,California Lutheran University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission and test scores are required to qualify for some merit scholarships.,5752,71.5%,1070-1250,21-26,Thousand Oaks,CA,91360-2787,1070.0,1250.0,21.0,26.0,0.715,1160.0,23.5,False
191,University of Mary Washington,Yes,All / Permanent Policy,The University of Mary Washington offers a test optional policy which allows students to petition to be considered for admission without SAT or ACT scores. However students applying for the Pre-Nursing Program or merit based scholarships and homeschooled students are not eligible for test choice.,5909,71.8%,1050-1269,22-29,Fredericksburg,VA,22401-5300,1050.0,1269.0,22.0,29.0,0.718,1159.5,25.5,False
192,Christopher Newport University,Yes*,All / Permanent Policy,Christopher Newport University requires either the SAT or ACT however they will waive this requirement for students with a 3.5+ GPA or who rank in the top 10% of their class. For students applying in the 2020-21 admission cycle there is no minimum GPA for test optional admission.,7204,71.9%,1110-1280,22-27,Newport News,VA,23606-3072,1110.0,1280.0,22.0,27.0,0.7190000000000001,1195.0,24.5,False
193,Mercer University,Yes,2021 2022 2023,Mercer University has adopted a three-year test optional policy. After Fall 2023 they will reevaluate.,5454,72.0%,1180-1340,25-30,Macon,GA,31207,1180.0,1340.0,25.0,30.0,0.72,1260.0,27.5,False
194,University of Dayton,Yes,2021,The University of Dayton has adopted a test-flexible policy for high school juniors applying for its fall 2021 entering class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,17462,72.0%,1120-1320,23-29,Dayton,OH,45469,1120.0,1320.0,23.0,29.0,0.72,1220.0,26.0,False
195,Lewis & Clark College,Yes,All / Permanent Policy,Lewis and Clark offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Prior to the 2020-21 admission cycle students who chose not to submit standardized test scores had to submit an academic portfolio in lieu of scores. However students will no longer be required to submit a portfolio.,5863,72.2%,1220-1400,27-31,Portland,OR,97219-7899,1220.0,1400.0,27.0,31.0,0.722,1310.0,29.0,False
196,Hendrix College,Yes,All / Permanent Policy,Hendrix College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled students and international students who are native speakers of English are not eligible for test optional admission.,1545,72.2%,1153-1390,26-32,Conway,AR,72032-3080,1153.0,1390.0,26.0,32.0,0.722,1271.5,29.0,False
