,school,test_optional,applies_to_class_year,policy_details,number_of_applicants,accept_rate,sat_total_middle50_percentile,act_total_middle50_percentile,city,state,zip,sat_total_25th_percentile,sat_total_75th_percentile,act_total_25th_percentile,act_total_75th_percentile,accept_rate_float,sat_school_avg,act_school_avg,should_scores_be_submitted
243,The Catholic University of America,Yes (TB),All / Permanent Policy,The Catholic University of America has adopted a test blind policy which means they will not consider SAT or ACT scores for admission.,6096,83.7%,1140-1320,24-30,Washington,DC,20064,1140.0,1320.0,24.0,30.0,0.8370000000000001,1230.0,27.0,False
244,University of Puget Sound,Yes,All / Permanent Policy,Puget Sound offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However students who attend secondary schools that do not provide letter grades and homeschooled students are not eligible for test optional admission.,5182,83.8%,1150-1370,25-30,Tacoma,WA,98416,1150.0,1370.0,25.0,30.0,0.838,1260.0,27.5,False
245,St. Mary's College of Maryland,Yes,All / Permanent Policy,Saint Mary's College of Maryland has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled applicants and applicants with non-traditional academic transcripts are not eligible for test optional admission.,1621,84.3%,1060-1290,21-29,St. Mary's City,MD,20686,1060.0,1290.0,21.0,29.0,0.843,1175.0,25.0,False
246,University of Arizona,Yes,All / Permanent Policy,University of Arizona offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants to the UA Honors College the College of Fine Arts the College of Nursing the College of Architecture Planning and Landscape Architecture and College of Engineering and homeschooled students are not eligible for test optional admission.,40854,84.6%,1120-1350,21-29,Tucson,AZ,85721-0066,1120.0,1350.0,21.0,29.0,0.846,1235.0,25.0,False
247,Susquehanna University,Yes,All / Permanent Policy,Susquehanna University offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,4863,84.8%,1100-1290,22-28,Selinsgrove,PA,17870-1025,1100.0,1290.0,22.0,28.0,0.848,1195.0,25.0,False
248,Hope College,Yes,2021,Hope College has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However students who wish to be considered for merit scholarships must submit test scores.,3748,85.7%,1130-1330,23-31,Holland,MI,49423-9000,1130.0,1330.0,23.0,31.0,0.857,1230.0,27.0,False
249,Valparaiso University,Yes,2021 2022,Valparaiso has adopted a two-year test optional policy. They will reevaluate their policy after the 2022 admission cycle.,5491,85.8%,1070-1290,22-29,Valparaiso,IN,46383,1070.0,1290.0,22.0,29.0,0.858,1180.0,25.5,False
250,George Mason University,Yes,All / Permanent Policy,George Mason University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However students who major in computer science and engineering majors home-schooled applicants and students seeking to become a member of one of George Mason’s NCAA intercollegiate athletics teams are not eligible for test optional admission. The Volgenau School of Engineering entering classes of 2020 and 2021 are exempt from the 550 SAT Math/24 ACT Math requirement.,19554,86.7%,1110-1320,24-30,Fairfax,VA,22030-4444,1110.0,1320.0,24.0,30.0,0.867,1215.0,27.0,False
251,Transylvania University,Yes,All / Permanent Policy,Transylvania University has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However test optional applicants are strongly encouraged to visit the Transylvania campus for an in-depth interview.,1702,88.7%,1100-1310,24-30,Lexington,KY,40508-1797,1100.0,1310.0,24.0,30.0,0.887,1205.0,27.0,False
252,University of Maine,Yes,2021 2022,University of Maine has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period UM will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,13118,90.2%,1050-1260,21-27,Orono,ME,4469,1050.0,1260.0,21.0,27.0,0.902,1155.0,24.0,False
253,Iowa State University,Yes,2021,Iowa State University has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,18246,92.1%,1100-1340,22-28,Ames,IA,50011-2103,1100.0,1340.0,22.0,28.0,0.9209999999999999,1220.0,25.0,False
254,Washington College,Yes,All / Permanent Policy,Ursinus College has a test-optional policy which allows students to be considered for admissions without submitting SAT or ACT scores. However homeschooled applicants and internantional applicants are not eligible for test optional admission.,2225,92.4%,1090-1300,20-29,Chestertown,MD,21620-1438,1090.0,1300.0,20.0,29.0,0.924,1195.0,24.5,False
255,Samford University,Yes,2021,Samford University has adopted a one-year test optional policy for students applying to the Fall 2021 semester.,3912,92.9%,1070-1250,23-29,Birmingham,AL,35229-2240,1070.0,1250.0,23.0,29.0,0.929,1160.0,26.0,False
257,University of Kentucky,Yes,2021,The University of Kentucky has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,19324,94.5%,1080-1300,23-29,Lexington,KY,40506-0032,1080.0,1300.0,23.0,29.0,0.945,1190.0,26.0,False
258,University of Toledo,Yes,All / Permanent Policy,University of Toledo offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students whose high schools do not provide grades are not eligible for test optional admission.,10228,95.1%,1000-1240,20-26,Toledo,OH,43606-3390,1000.0,1240.0,20.0,26.0,0.951,1120.0,23.0,False
260,Queens University of Charlotte,Yes,All / Permanent Policy,Queens University of Charlotte offers a test optional policy which allows students to be considered for admission without SAT or ACT scores though they encourage applicants to submit scores.,2319,96.2%,1040-1240,21-27,Charlotte,NC,28274-0001,1040.0,1240.0,21.0,27.0,0.9620000000000001,1140.0,24.0,False
