INSTNM,CITY,STABBR,ZIP
Career Academy of Hair Design - Fort Smith,Fort Smith,AR,72901-7814
University of Arkansas Community College at Hope - Texarkana,Texarkana,AR,71854-1467
Alliant International University-Fresno,Fresno,CA,93727
Alliant International University-Los Angeles,Alhambra,CA,91803
Alliant International University-San Francisco,Emeryville,CA,94608
Alliant International University-Irvine,Irvine,CA,92606
Alliant International University-Sacramento,Sacramento,CA,95833
Flashpoint Chicago A Campus of Columbia College Hollywood,Chicago,IL,60602-2716
FIDM-Fashion Institute of Design & Merchandising-Orange County,Irvine,CA,926145610
FIDM-Fashion Institute of Design & Merchandising-San Diego,San Diego,CA,921014903
San Jose Campus,San Jose,CA,95131
Franciscan School of Theology - San Diego,San Diego,CA,92110-2492
Golden Gate University-Seattle,Seattle,WA,98101-2218
Golden Gate University-Silicon Valley,Santa Clara,CA,95054-2218
Humphreys College-Modesto,Salida,CA,95368
TONI&GUY Hairdressing Academy - Costa Mesa,Costa Mesa,CA,92626
IDEA at ATEP,Tustin,CA,92782-0223
Life Pacific University-Virginia,Christiansburg,VA,24073
Marymount University - Waterfront Campus,San Pedro,CA,90731-3316
Marymount California University - Lakeside Campus,Lucerne,CA,95458-0000
MiraCosta College - San Elijo Campus,Cardiff,CA,92007-1516
Mount Saint Mary's University - Doheny Campus,Los Angeles,CA,90007
San Diego State University-Imperial Valley Campus,Calexico,CA,92231
San Joaquin General Hospital School of Radiation Technology,French Camp,CA,95231
San Joaquin Valley College - Hanford,Hanford,CA,932304523
San Joaquin Valley College - Online,Visalia,CA,932914523
San Joaquin Valley College - Bakersfield,Bakersfield,CA,933094523
San Joaquin Valley College - Fresno,Fresno,CA,937103616
San Joaquin Valley College - Fresno Trades Education Center,Fresno,CA,937273616
San Joaquin Valley College - Ontario,Ontario,CA,917643616
San Joaquin Valley College - Modesto,Salida,CA,953683616
San Joaquin Valley College - Rancho Cordova,Rancho Cordova,CA,956703616
San Joaquin Valley College - Hesperia,Hesperia,CA,923443616
San Joaquin Valley College - Temecula,Temecula,CA,925903616
San Joaquin Valley College - Lancaster,Lancaster,CA,935347018
San Joaquin Valley College - San Diego,Chula Vista,CA,919105557
San Joaquin Valley College - Madera,Madera,CA,936378724
San Joaquin Valley College - Delano,Delano,CA,932159691
San Joaquin Valley College - Atascadero,Atascadero,CA,934225333
Jesuit School of Theology of Santa Clara University,Berkeley,CA,94709
Thomas Aquinas College - New England,Northfield,MA,01360-1034
Wright Institute (The) -,Berkeley,CA,94710-2254
Colorado Technical University-Denver South,Aurora,CO,80014
Denver Seminary - Washington DC,Landover,MD,20785-2414
Denver Seminary - West Texas,Amarillo,TX,79110
Otero College - La Junta High School,La Junta,CO,81050-3346
Otero Junior College - East School,La Junta,CO,810503346
Otero College - Fort Lyon Colorado Coalition for the Homeless,Las Animas,CO,81054-9499
Three Rivers Community College - Corrigan-Radgowski Correctional Center,Uncasville,CT,06382-0638
Three Rivers Community College - York Correctional Institution,Niantic,CT,06357-1904
Porter and Chester Institute of Rocky Hill,Rocky Hill,CT,06067-1400
Porter and Chester Institute of Enfield,Enfield,CT,06082-1400
Porter and Chester Institute of Waterbury,Waterbury,CT,6705
Porter and Chester Institute of Chicopee,Chicopee,MA,10221400
Porter and Chester Institute of Worcester,Worcester,MA,1606
Porter and Chester Institute of Canton,Canton,MA,20212480
Porter and Chester Institute - New London,New London,CT,06320-5548
Delaware Technical Community College-Owens,Georgetown,DE,19947
Delaware Technical Community College-Stanton/Wilmington,Wilmington,DE,19801
Strayer University-Takoma Park Campus,Washington,DC,20012
Barry University Law School,Orlando,FL,32807-3673
Keiser University-Melbourne,Melbourne,FL,32901
Keiser University-Tallahassee,Tallahassee,FL,32309
Keiser University-Daytona,Daytona Beach,FL,32114
Keiser University-Lakeland,Lakeland,FL,33805
Keiser University- Miami,Miami,FL,33172
Keiser University-Orlando,Orlando,FL,32807
Keiser University-Sarasota,Sarasota,FL,34240
Keiser University-Jacksonville,Jacksonville,FL,32216
Keiser University-Tampa,Tampa,FL,33634
Keiser University-Pembroke Pines,Pembroke Pines,FL,33027
Keiser University-Port St Lucie,Port St Lucie,FL,34987
Keiser University-West Palm Beach,West Palm Beach,FL,33411
